# Mutation cases for the BEO-69 batch-5 refusal tests (internal/taskauthority).
#
# <go file>	<test>	<anchor, \n for newlines and \t for tabs>
#
# Each row names one refusal branch and the test that claims to cover it.
# .github/scripts/mutation-check.py rewrites the anchor's condition to
# `(COND) && false` and reruns that test: it must go red. See that script's
# docstring for why the operator is that way round and why a BUILD-FAIL is
# counted as its own class rather than as a kill.
internal/taskauthority/canonical.go	TestGuardNewCanonicalRefusesNilHome	\tif h == nil {
internal/taskauthority/canonical.go	TestGuardPrepareRefusesDigestThatDoesNotDeriveFromTheIntent	\tif op.Digest != want {
internal/taskauthority/canonical_cleanup.go	TestGuardAbortCleanupRequiresAClaim	\t\tif claim == nil {\n\t\t\treturn Aggregate{}, conflictError(ErrConflict, "task %s generation %s has no cleanup claim to abort", cur.TaskID, cur.Generation)
internal/taskauthority/canonical_delivery.go	TestGuardCommitDeliveryOutcomeRefusesUnsafeHeadSHABeforeReadingTheTask	\tif req.HeadSHA != "" && !safeSHAValue(req.HeadSHA) {
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryByOperationReadsRefuseUnusableIdentities	\tif !ok {\n\t\treturn DeliveryOutcome{}, conflictError(ErrNotFound, "task %s has no delivery outcome %s", taskID.Value(), operationID)
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryByOperationReadsRefuseUnusableIdentities	\tif !ok {\n\t\treturn DeliveryRevocation{}, conflictError(ErrNotFound, "task %s has no delivery revocation %s", taskID.Value(), operationID)
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryByOperationReadsRefuseUnusableIdentities	\tif !safeIdentityValue(operationID) {\n\t\treturn DeliveryAuthorization{}, validationError("authorization operation identity must be a safe non-empty value")
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryByOperationReadsRefuseUnusableIdentities	\tif !safeIdentityValue(operationID) {\n\t\treturn DeliveryRevocation{}, validationError("revocation operation identity must be a safe non-empty value")
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryMutationRefusesMissingTask	\tif !exists {\n\t\treturn DeliveryIndex{}, false, conflictError(ErrNotFound, "task %s not found", taskID.Value())
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryOutcomeRefusesTaskWithNoCommittedOutcome	\tif index.OutcomeOpID == "" {
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryReadsRefuseEvidenceBoundToAnotherTask	\tif out.TaskID != taskID {
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryReadsRefuseEvidenceBoundToAnotherTask	\tif rev.TaskID != taskID {
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryReadsRefuseIndexPointersWithNoDocument	\t\tif !ok {\n\t\t\treturn Aggregate{}, DeliveryIndex{}, nil, internalError("task %s delivery index points at missing authorization %s", cur.TaskID, index.AuthorizationOpID)
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryReadsRefuseIndexPointersWithNoDocument	\t\tif !ok {\n\t\t\treturn DeliveryCurrency{}, internalError("task %s delivery index points at missing outcome %s", taskID.Value(), index.OutcomeOpID)
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryReadsRefuseIndexPointersWithNoDocument	\tif !ok {\n\t\treturn DeliveryOutcome{}, internalError("task %s delivery index points at missing outcome %s", taskID.Value(), index.OutcomeOpID)
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryReadsRefuseIndexPointersWithNoDocument	\tif !ok {\n\t\treturn false, internalError("task %s delivery index points at missing revocation %s", taskID, index.RevocationOpID)
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryReplayRefusesWhenItsEvidenceIsGone	\t\tif !ok {\n\t\t\treturn DeliveryAuthorizationResult{}, internalError("replay of delivery authorization %s cannot reconstruct the committed evidence", op.ID.Value())
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryReplayRefusesWhenItsEvidenceIsGone	\t\tif !ok {\n\t\t\treturn DeliveryOutcomeResult{}, internalError("replay of delivery outcome %s cannot reconstruct the committed evidence", op.ID.Value())
internal/taskauthority/canonical_delivery.go	TestGuardDeliveryReplayRefusesWhenItsEvidenceIsGone	\t\tif !ok {\n\t\t\treturn DeliveryRevocationResult{}, internalError("replay of delivery revocation %s cannot reconstruct the committed evidence", op.ID.Value())
